SCENARIO,,Condition,Turn,date,Time,やり直し,Amount,Quality,Usability,,,,Amount,Quality,Usability,,,,
2,Ollama,AIReN,9,20260301,123937,debug.json,85,78,80,,,AIReN,84.4,76.44,79.86,,2.39897937482095,2.5647532403086,2.55558611832262
4,Ollama,AIReN,6,20260301,90406,debug.json,75,70,70,,,Guided,83,75.28,78.74,,4.04061017820884,3.46433726029398,3.72421749074451
3,Ollama,AIReN,2,20260301,25436,debug.json,85,78,80,,,NoGuided,80.4,74.22,76.66,,5.42481072744215,4.2680110552044,4.52480690759511
5,Ollama,AIReN,1,20260301,20206,debug.json,85,78,80,,,,,,,,,,
2,Ollama,AIReN,6,20260301,81912,debug.json,85,80,82,,,,,,,,,,
5,Ollama,AIReN,9,20260301,165711,debug.json,85,78,80,,,,,,,,,,
3,Ollama,AIReN,1,20260301,13142,debug.json,85,80,82,,,,,,,,,,
5,Ollama,AIReN,3,20260301,50059,debug.json,85,75,80,,,,,,,,,,
5,Ollama,AIReN,8,20260301,120520,debug.json,85,75,80,,,,,,,,,,
4,Ollama,AIReN,4,20260301,60730,debug.json,85,75,80,,,,,,,,,,
5,Ollama,AIReN,4,20260301,62028,debug.json,85,78,80,,,,,,,,,,
2,Ollama,AIReN,7,20260301,95431,debug.json,85,78,80,,,,,,,,,,
4,Ollama,AIReN,8,20260301,114516,debug.json,85,75,80,,,,,,,,,,
3,Ollama,AIReN,9,20260301,125546,debug.json,85,75,80,,,,,,,,,,
4,Ollama,AIReN,1,20260301,14837,debug.json,85,78,80,,,,,,,,,,
3,Ollama,AIReN,4,20260301,55247,debug.json,85,80,82,,,,,,,,,,
3,Ollama,AIReN,0,20260301,1233,debug.json,85,80,82,,,,,,,,,,
3,Ollama,AIReN,6,20260301,84133,debug.json,85,75,80,,,,,,,,,,
2,Ollama,AIReN,3,20260301,41859,debug.json,85,75,80,,,,,,,,,,
5,Ollama,AIReN,6,20260301,92035,debug.json,85,75,80,,,,,,,,,,
1,Ollama,AIReN,7,20260301,93643,debug.json,85,78,80,,,,,,,,,,
3,Ollama,AIReN,7,20260301,100709,debug.json,85,80,82,,,,,,,,,,
1,Ollama,AIReN,8,20260301,110052,debug.json,85,75,80,,,,,,,,,,
2,Ollama,AIReN,1,20260301,11810,debug.json,85,75,80,,,,,,,,,,
5,Ollama,AIReN,2,20260301,33833,debug.json,85,80,85,,,,,,,,,,
4,Ollama,AIReN,9,20260301,130916,debug.json,85,75,80,,,,,,,,,,
1,Ollama,AIReN,5,20260301,63216,debug.json,85,75,80,,,,,,,,,,
5,Ollama,AIReN,7,20260301,103738,debug.json,85,75,80,,,,,,,,,,
3,Ollama,AIReN,5,20260301,70527,debug.json,85,75,80,,,,,,,,,,
1,Ollama,AIReN,0,20260228,234336,debug.json,85,75,80,,,,,,,,,,
4,Ollama,AIReN,0,20260301,3117,debug.json,85,78,80,,,,,,,,,,
2,Ollama,AIReN,5,20260301,64855,debug.json,85,78,80,,,,,,,,,,
4,Ollama,AIReN,5,20260301,72344,debug.json,85,75,80,,,,,,,,,,
4,Ollama,AIReN,2,20260301,31811,debug.json,85,78,80,,,,,,,,,,
3,Ollama,AIReN,8,20260301,112549,debug.json,85,78,80,,,,,,,,,,
5,Ollama,AIReN,5,20260301,73840,debug.json,85,75,80,,,,,,,,,,
1,Ollama,AIReN,2,20260301,22236,debug.json,85,80,82,,,,,,,,,,
5,Ollama,AIReN,0,20260301,4611,debug.json,85,75,80,,,,,,,,,,
2,Ollama,AIReN,4,20260301,54153,debug.json,85,78,80,,,,,,,,,,
4,Ollama,AIReN,7,20260301,102414,debug.json,85,80,82,,,,,,,,,,
2,Ollama,AIReN,0,20260301,10,debug.json,85,75,80,,,,,,,,,,
1,Ollama,AIReN,6,20260301,80037,debug.json,75,70,72,,,,,,,,,,
1,Ollama,AIReN,4,20260301,52634,debug.json,85,78,80,,,,,,,,,,
3,Ollama,AIReN,3,20260301,43154,debug.json,75,70,70,,,,,,,,,,
4,Ollama,AIReN,3,20260301,44649,debug.json,85,75,80,,,,,,,,,,
1,Ollama,AIReN,3,20260301,35810,debug.json,85,75,80,,,,,,,,,,
1,Ollama,AIReN,1,20260301,10038,debug.json,85,75,80,,,,,,,,,,
1,Ollama,AIReN,9,20260301,121743,debug.json,85,80,82,,,,,,,,,,
2,Ollama,AIReN,2,20260301,24115,debug.json,85,75,80,,,,,,,,,,
2,Ollama,AIReN,8,20260301,111324,debug.json,85,75,80,,,,,,,,,,
5,Ollama,Guided,0,20260225,151956.json,,85,75,80,,,,,,,,,,
4,Ollama,Guided,3,20260225,162913.json,,85,75,80,,,,,,,,,,
2,Ollama,Guided,5,20260225,171740.json,,85,75,80,,,,,,,,,,
2,Ollama,Guided,9,20260225,185708.json,,85,78,80,,,,,,,,,,
4,Ollama,Guided,8,20260225,184227.json,,85,75,80,,,,,,,,,,
3,Ollama,Guided,9,20260225,190101.json,,85,78,80,,,,,,,,,,
5,Ollama,Guided,1,20260225,154717.json,,85,75,80,,,,,,,,,,
3,Ollama,Guided,2,20260225,160134.json,,85,75,80,,,,,,,,,,
1,Ollama,Guided,6,20260225,173814.json,,75,70,72,,,,,,,,,,
3,Ollama,Guided,6,20260225,174901.json,,85,75,80,,,,,,,,,,
5,Ollama,Guided,7,20260225,182327.json,,85,75,80,,,,,,,,,,
4,Ollama,Guided,9,20260225,190806.json,,85,78,80,,,,,,,,,,
5,Ollama,Guided,9,20260225,191315.json,,75,70,70,,,,,,,,,,
4,Ollama,Guided,0,20260225,151543.json,,85,78,80,,,,,,,,,,
3,Ollama,Guided,5,20260225,172435.json,,85,78,80,,,,,,,,,,
4,Ollama,Guided,1,20260225,154206.json,,85,75,80,,,,,,,,,,
5,Ollama,Guided,8,20260225,184718.json,,85,75,80,,,,,,,,,,
4,Ollama,Guided,7,20260225,181649.json,,75,70,72,,,,,,,,,,
1,Ollama,Guided,1,20260225,152501.json,,85,80,85,,,,,,,,,,
4,Ollama,Guided,5,20260225,172957.json,,85,75,80,,,,,,,,,,
2,Ollama,Guided,6,20260225,174419.json,,85,75,80,,,,,,,,,,
3,Ollama,Guided,4,20260225,165734.json,,85,75,80,,,,,,,,,,
2,Ollama,Guided,0,20260225,150452.json,,85,75,80,,,,,,,,,,
5,Ollama,Guided,2,20260225,160905.json,,85,75,80,,,,,,,,,,
2,Ollama,Guided,1,20260225,153012.json,,85,80,85,,,,,,,,,,
2,Ollama,Guided,3,20260225,162006.json,,85,78,80,,,,,,,,,,
3,Ollama,Guided,7,20260225,181127.json,,85,78,80,,,,,,,,,,
1,Ollama,Guided,0,20260225,145850.json,,85,75,80,,,,,,,,,,
3,Ollama,Guided,1,20260225,153714.json,,85,75,80,,,,,,,,,,
2,Ollama,Guided,7,20260225,180617.json,,75,70,70,,,,,,,,,,
5,Ollama,Guided,4,20260225,170614.json,,85,78,80,,,,,,,,,,
1,Ollama,Guided,5,20260225,171220.json,,75,70,72,,,,,,,,,,
5,Ollama,Guided,6,20260225,175708.json,,85,75,80,,,,,,,,,,
2,Ollama,Guided,8,20260225,183235.json,,75,70,72,,,,,,,,,,
5,Ollama,Guided,3,20260225,163357.json,,85,75,80,,,,,,,,,,
4,Ollama,Guided,6,20260225,175301.json,,85,78,80,,,,,,,,,,
2,Ollama,Guided,2,20260225,155529.json,,85,78,80,,,,,,,,,,
1,Ollama,Guided,2,20260225,155051.json,,85,75,80,,,,,,,,,,
5,Ollama,Guided,5,20260225,173338.json,,85,78,80,,,,,,,,,,
1,Ollama,Guided,8,20260225,182819.json,,75,85,80,,,,,,,,,,
1,Ollama,Guided,4,20260225,163742.json,,75,65,70,,,,,,,,,,
3,Ollama,Guided,8,20260225,183743.json,,85,75,80,,,,,,,,,,
1,Ollama,Guided,3,20260225,161510.json,,85,75,80,,,,,,,,,,
3,Ollama,Guided,3,20260225,162417.json,,85,78,80,,,,,,,,,,
2,Ollama,Guided,4,20260225,165201.json,,85,80,85,,,,,,,,,,
1,Ollama,Guided,9,20260225,185133.json,,75,70,72,,,,,,,,,,
3,Ollama,Guided,0,20260225,151154.json,,75,70,72,,,,,,,,,,
4,Ollama,Guided,4,20260225,170123.json,,85,75,80,,,,,,,,,,
4,Ollama,Guided,2,20260225,160521.json,,85,75,80,,,,,,,,,,
1,Ollama,Guided,7,20260225,180229.json,,85,78,80,,,,,,,,,,
5,Ollama,NoGuided,7,20260225,182535.json,,75,70,72,,,,,,,,,,
4,Ollama,NoGuided,1,20260225,154430.json,,85,75,80,,,,,,,,,,
4,Ollama,NoGuided,6,20260225,175523.json,,85,75,80,,,,,,,,,,
3,Ollama,NoGuided,3,20260225,162607.json,,85,75,80,,,,,,,,,,
5,Ollama,NoGuided,3,20260225,163527.json,,75,70,72,,,,,,,,,,
3,Ollama,NoGuided,6,20260225,175041.json,,75,70,72,,,,,,,,,,
3,Ollama,NoGuided,1,20260225,153855.json,,75,70,72,,,,,,,,,,
2,Ollama,NoGuided,8,20260225,183445.json,,85,75,80,,,,,,,,,,
2,Ollama,NoGuided,0,20260225,150734.json,,85,78,80,,,,,,,,,,
5,Ollama,NoGuided,2,20260225,161210.json,,85,78,80,,,,,,,,,,
2,Ollama,NoGuided,7,20260225,180854.json,,75,85,80,,,,,,,,,,
4,Ollama,NoGuided,9,20260225,191027.json,,85,75,80,,,,,,,,,,
1,Ollama,NoGuided,6,20260225,174053.json,,85,75,80,,,,,,,,,,
1,Ollama,NoGuided,4,20260225,164001.json,,85,75,80,,,,,,,,,,
1,Ollama,NoGuided,2,20260225,155244.json,,85,75,80,,,,,,,,,,
1,Ollama,NoGuided,1,20260225,152735.json,,75,70,72,,,,,,,,,,
1,Ollama,NoGuided,0,20260225,150048.json,,85,75,80,,,,,,,,,,
1,Ollama,NoGuided,5,20260225,171512.json,,85,75,80,,,,,,,,,,
3,Ollama,NoGuided,0,20260225,151406.json,,85,78,80,,,,,,,,,,
2,Ollama,NoGuided,2,20260225,155906.json,,85,75,80,,,,,,,,,,
1,Ollama,NoGuided,3,20260225,161646.json,,85,75,80,,,,,,,,,,
3,Ollama,NoGuided,2,20260225,160300.json,,75,70,72,,,,,,,,,,
1,Ollama,NoGuided,7,20260225,180432.json,,75,70,70,,,,,,,,,,
5,Ollama,NoGuided,8,20260225,184921.json,,75,70,70,,,,,,,,,,
2,Ollama,NoGuided,9,20260225,185925.json,,75,70,70,,,,,,,,,,
1,Ollama,NoGuided,8,20260225,183036.json,,85,75,80,,,,,,,,,,
5,Ollama,NoGuided,1,20260225,154905.json,,85,78,80,,,,,,,,,,
2,Ollama,NoGuided,6,20260225,174635.json,,75,70,72,,,,,,,,,,
4,Ollama,NoGuided,2,20260225,160651.json,,75,70,72,,,,,,,,,,
4,Ollama,NoGuided,0,20260225,151730.json,,85,75,80,,,,,,,,,,
4,Ollama,NoGuided,4,20260225,170331.json,,75,85,80,,,,,,,,,,
2,Ollama,NoGuided,5,20260225,172129.json,,75,70,72,,,,,,,,,,
3,Ollama,NoGuided,8,20260225,183949.json,,85,75,80,,,,,,,,,,
3,Ollama,NoGuided,5,20260225,172642.json,,65,78,70,,,,,,,,,,
2,Ollama,NoGuided,3,20260225,162208.json,,75,70,70,,,,,,,,,,
4,Ollama,NoGuided,7,20260225,181921.json,,85,75,80,,,,,,,,,,
5,Ollama,NoGuided,6,20260225,175859.json,,85,75,80,,,,,,,,,,
3,Ollama,NoGuided,7,20260225,181401.json,,75,70,70,,,,,,,,,,
5,Ollama,NoGuided,5,20260225,173505.json,,75,70,72,,,,,,,,,,
3,Ollama,NoGuided,9,20260225,190329.json,,75,70,72,,,,,,,,,,
5,Ollama,NoGuided,9,20260225,191444.json,,85,78,80,,,,,,,,,,
3,Ollama,NoGuided,4,20260225,165936.json,,85,75,80,,,,,,,,,,
2,Ollama,NoGuided,1,20260225,153435.json,,85,80,82,,,,,,,,,,
4,Ollama,NoGuided,8,20260225,184441.json,,85,75,80,,,,,,,,,,
5,Ollama,NoGuided,0,20260225,152131.json,,85,88,85,,,,,,,,,,
2,Ollama,NoGuided,4,20260225,165414.json,,75,70,72,,,,,,,,,,
4,Ollama,NoGuided,5,20260225,173155.json,,85,75,80,,,,,,,,,,
4,Ollama,NoGuided,3,20260225,163108.json,,75,70,70,,,,,,,,,,
5,Ollama,NoGuided,4,20260225,170841.json,,85,75,80,,,,,,,,,,
1,Ollama,NoGuided,9,20260225,185516.json,,75,70,72,,,,,,,,,,
